experiment_id	hypothesis	description	status	primary_score	feasible	primary_score_eligible	keep_eligible	current_best_before	best_improvement	baseline_improvement_total	recovery_total	treatment_cost_total	over_treatment_penalty_total	missed_opportunity_penalty_total	policy_penalty_total	net_utility	utility_per_account	human_rate	no_contact_count	digital_count	payment_plan_count	human_count	roc_auc	pr_auc	brier_score	runtime_seconds	base_commit	accepted_commit	candidate_hash	evaluator_version	evaluator_hash	artifact_hash	error
exp_011	Adding current utilization to risk and exposure ranking improves scarce human allocation.	add utilization to human ranking	KEEP	997.3417380541414	True	True	True	991.5792565828251	5.762481471316278	864887.6849996569	4856567.821243636	250875.0	117655.0	0.0	0.0	4488037.821243636	997.3417380541414	0.35	0	2925	0	1575	0.7745348712177148	0.5502255944892724	0.13523340157656155	12.71284139197087	761e5f7cc5f7ebbf76df59ed9fa6ec40ff02b1ec	4c27bfc812ab75ae7d6c967fe1c42e9325577fef	b6c74bdfe17e367dc324f95fb23528616e259ddf63b883bf0e23a22ad1023260	phase5_evaluator_v1	ce12ee3e53f2af91ac7b00af24e50476fe28824dbf7d47c509608ee78ef46fc3	e6e9299eaada4f1bccc51602e19eb0c2bc8ca093dacc0afde1a311de25454113	
exp_012	Recent delinquency improves human allocation when added to accepted risk exposure utilization ranking.	add recent delinquency to human ranking	REVERT	997.1437902834606	True	True	False	997.3417380541414	-0.19794777068079839	863996.9200315932	4854917.056275573	250875.0	116895.0	0.0	0.0	4487147.056275573	997.1437902834606	0.35	0	2925	0	1575	0.7745348712177148	0.5502255944892724	0.13523340157656155	12.480109615018591	4c27bfc812ab75ae7d6c967fe1c42e9325577fef		af83ca2c6587c19e2faad0074caa7a5e8e01cf4a122eb9b3644415dea60b222b	phase5_evaluator_v1	ce12ee3e53f2af91ac7b00af24e50476fe28824dbf7d47c509608ee78ef46fc3	ac39a9a57cf51b629a14cc5682a9daed54b30ec6854a2e8cf572365e98d76ff1	
exp_013	Persistent six-month delinquency improves human allocation beyond current risk exposure utilization ranking.	add persistent delinquency to human ranking	REVERT	994.9845147339071	True	True	False	997.3417380541414	-2.3572233202343114	854280.1800586022	4843965.316302582	250875.0	115660.0	0.0	0.0	4477430.316302582	994.9845147339071	0.35	0	2925	0	1575	0.7745348712177148	0.5502255944892724	0.13523340157656155	12.983975698996801	4c27bfc812ab75ae7d6c967fe1c42e9325577fef		58f211085e45ca9253475fd733b8a7d3c0f4d8dd361490e623c87bdd626ca822	phase5_evaluator_v1	ce12ee3e53f2af91ac7b00af24e50476fe28824dbf7d47c509608ee78ef46fc3	9958306cd4d601aa638d0a35cce24ae6e0b3781fc6d625af6fb4c92b37e669d2	
exp_014	Lower payment consistency identifies accounts that benefit more from human handling at equal risk and exposure.	weight human ranking by inverse payment frequency	REVERT	988.8523037258681	True	True	False	997.3417380541414	-8.489434328273319	826685.2305224268	4817795.366766406	250875.0	117085.0	0.0	0.0	4449835.366766406	988.8523037258681	0.35	0	2925	0	1575	0.7745348712177148	0.5502255944892724	0.13523340157656155	12.18902683496708	4c27bfc812ab75ae7d6c967fe1c42e9325577fef		5956794fa1e2e98f03a4eb50dbab4730a7abb29a8325140dcdcd7a7741df913c	phase5_evaluator_v1	ce12ee3e53f2af91ac7b00af24e50476fe28824dbf7d47c509608ee78ef46fc3	466924c1bf1b9ebe9394a59262af495e21ca851cbfad7908fbdc7f1d3f0a6c82	
exp_015	A rising six-month balance trend improves human allocation beyond current risk exposure utilization ranking.	add positive balance trend to human ranking	REVERT	992.375651581082	True	True	False	997.3417380541414	-4.966086473059363	842540.2958708899	4835740.432114869	250875.0	119175.0	0.0	0.0	4465690.432114869	992.375651581082	0.35	0	2925	0	1575	0.7745348712177148	0.5502255944892724	0.13523340157656155	11.434276068001054	4c27bfc812ab75ae7d6c967fe1c42e9325577fef		59b1777f16bdc6272252997607295d669689646ead9ade15299abff9aa8103c4	phase5_evaluator_v1	ce12ee3e53f2af91ac7b00af24e50476fe28824dbf7d47c509608ee78ef46fc3	4dce510c29620cb81f6c1297e80d935bc0b5813a06d37fb97d0cdb4643fcda09	
exp_016	Reducing utilization-aware human allocation to 34 percent removes negative-value marginal escalations.	reduce human allocation to 34 percent	REVERT	996.4668215044047	True	True	False	997.3417380541414	-0.8749165497366675	860950.560525842	4842685.696769821	244350.0	114235.0	0.0	0.0	4484100.696769821	996.4668215044047	0.34	0	2970	0	1530	0.7745348712177148	0.5502255944892724	0.13523340157656155	15.025886173010804	4c27bfc812ab75ae7d6c967fe1c42e9325577fef		4f27f5703ec933c236a2cc1aa19322f0fc8bed27578a6fdb53346ae19d33d74e	phase5_evaluator_v1	ce12ee3e53f2af91ac7b00af24e50476fe28824dbf7d47c509608ee78ef46fc3	e25c5ace5566210abfb1ee43a61756f2068232b037a333f01a7c5016b56dbad7	
exp_017	Reducing utilization-aware human allocation only to 34.5 percent removes the weakest marginal escalations.	reduce human allocation to 34.5 percent	REVERT	997.0828003557306	True	True	False	997.3417380541414	-0.2589376984108185	863722.4653568082	4850357.601600788	247540.0	115945.0	0.0	0.0	4486872.601600788	997.0828003557306	0.3448888888888889	0	2948	0	1552	0.7745348712177148	0.5502255944892724	0.13523340157656155	12.264525164035149	4c27bfc812ab75ae7d6c967fe1c42e9325577fef		5627a9257416c6c248777dbb7d7c3e205e5bf88ff068fb9fa6b8e1e9c5d206c5	phase5_evaluator_v1	ce12ee3e53f2af91ac7b00af24e50476fe28824dbf7d47c509608ee78ef46fc3	bb3d08bee23be83fc7b25fb5da7513fbd30dd5d988d54d4af410588418602943	
exp_018	Very low-risk non-human accounts cost more to contact digitally than their simulated benefit.	route probability below 0.05 to no contact	REVERT	996.0614252843451	True	True	False	997.3417380541414	-1.2803127697962964	859126.2775355736	4850510.075622695	250265.0	117060.0	908.6618431411649	0.0	4482276.413779553	996.0614252843451	0.35	122	2803	0	1575	0.7745348712177148	0.5502255944892724	0.13523340157656155	12.537630025995895	4c27bfc812ab75ae7d6c967fe1c42e9325577fef		81cc552c0f3ba56c0215aa812181956c4bb6a696ed1ecf66a7869493e0cfdf36	phase5_evaluator_v1	ce12ee3e53f2af91ac7b00af24e50476fe28824dbf7d47c509608ee78ef46fc3	a90ab7765c30d9f9ea34d07627e6438444eb22f594c2d51580b9d3a07e01c18a	
exp_019	High-risk accounts not selected for human escalation gain utility from payment-plan review instead of digital contact.	route non-human probability at least 0.70 to payment plan	REVERT	997.1237835160357	True	True	False	997.3417380541414	-0.21795453810568688	863906.8895781813	4856787.025822161	251955.0	117775.0	0.0	0.0	4487057.025822161	997.1237835160357	0.35	0	2901	24	1575	0.7745348712177148	0.5502255944892724	0.13523340157656155	13.258714194002096	4c27bfc812ab75ae7d6c967fe1c42e9325577fef		b70908952b035e44820bb720f3cecac31c4a3d768856f43f4ebf6fc6ec303cc9	phase5_evaluator_v1	ce12ee3e53f2af91ac7b00af24e50476fe28824dbf7d47c509608ee78ef46fc3	a18fbb5e232a5fd1cb50d64c8259ce2aebc8c0735760e6977a1bb03a02c05248	
exp_020	Moderate-to-high-risk non-human accounts gain utility from payment-plan review despite its higher cost.	route non-human probability at least 0.50 to payment plan	REVERT	996.6576562723807	True	True	False	997.3417380541414	-0.6840817817607103	861809.3169817338	4856989.453225713	253935.0	118095.0	0.0	0.0	4484959.453225713	996.6576562723807	0.35	0	2857	68	1575	0.7745348712177148	0.5502255944892724	0.13523340157656155	13.365129117039032	4c27bfc812ab75ae7d6c967fe1c42e9325577fef		4f6f767c8fc07c1dcb4d23f0b29e8ddb3480b825ce5e734ac8bca9577144291d	phase5_evaluator_v1	ce12ee3e53f2af91ac7b00af24e50476fe28824dbf7d47c509608ee78ef46fc3	913f0d1f43155117ee8b25ef55b277a45365482c6eb083dab3b8c817c5339311	
exp_021	High-utilization non-human accounts with material risk gain utility from payment-plan review instead of digital contact.	route risky high-utilization fallback to payment plan	REVERT	997.2855171582781	True	True	False	997.3417380541414	-0.05622089586324819	864634.6909682723	4856879.827212252	251280.0	117815.0	0.0	0.0	4487784.827212252	997.2855171582781	0.35	0	2916	9	1575	0.7745348712177148	0.5502255944892724	0.13523340157656155	12.203444365994073	4c27bfc812ab75ae7d6c967fe1c42e9325577fef		b8f4bdcb314830b9549a1beb5eb805ee1937c183febb0c39998174315c2746e4	phase5_evaluator_v1	ce12ee3e53f2af91ac7b00af24e50476fe28824dbf7d47c509608ee78ef46fc3	bdd222871ee07ae96d0032a2d02e517c2d127a0b9be6be2a4b548a650c4919a0	
exp_022	Stronger logistic regularization improves risk ordering for exposure-aware human allocation.	set logistic regularization C to 0.5	KEEP	997.7883630960956	True	True	True	997.3417380541414	0.4466250419542348	866897.4976884509	4858482.63393243	250875.0	117560.0	0.0	0.0	4490047.63393243	997.7883630960956	0.35	0	2925	0	1575	0.7745236883418518	0.5502605982908022	0.13524173128047343	11.666995950974524	4c27bfc812ab75ae7d6c967fe1c42e9325577fef	2ce15f35f0dd512dfa96e590db21c2c9a3bf574f	424b70ef9f893fd097b38d5f31d31dc0ec89e8fcba2681384c4c24137d497f96	phase5_evaluator_v1	ce12ee3e53f2af91ac7b00af24e50476fe28824dbf7d47c509608ee78ef46fc3	ba610321a2f3cdc8b4862d3ed6923024f3da4ce174251cdb45080d9020a1fbf4	
exp_023	Balanced logistic class weights improve exposure-aware human allocation by identifying more defaulted accounts.	use balanced logistic class weights	KEEP	998.023396651731	True	True	True	997.7883630960956	0.23503355563536843	867955.14868881	4864005.284932789	250875.0	122025.0	0.0	0.0	4491105.284932789	998.023396651731	0.35	0	2925	0	1575	0.7737219621646033	0.5468247017855268	0.18924418059873585	12.886737952998374	2ce15f35f0dd512dfa96e590db21c2c9a3bf574f	d62950d1ff35222eadbf4c9495d2072a14ec0b79	597c53c83efef743fe7dacb1076608880e352a9eba887239ca80a724151415d9	phase5_evaluator_v1	ce12ee3e53f2af91ac7b00af24e50476fe28824dbf7d47c509608ee78ef46fc3	2d2f9e3f5cdf75afca430d0364be021f1c08604c15933390cf7506a0111dfd99	
exp_024	A small histogram gradient boosting model captures nonlinear behavior that improves protected allocation utility.	use small HistGradientBoosting risk model	KEEP	998.2869729390948	True	True	True	998.023396651731	0.2635762873637759	869141.2419819469	4859586.378225926	250875.0	116420.0	0.0	0.0	4492291.378225926	998.2869729390948	0.35	0	2925	0	1575	0.7879877275105915	0.5609663892779136	0.13272009244591193	1.185505583009217	d62950d1ff35222eadbf4c9495d2072a14ec0b79	3aff4579faf4ff5cf31837a3f736440343ae7bcf	c9a430650cfa0d9aafba93bc9219d53bde27841a1ae044835448e9468da5f3e0	phase5_evaluator_v1	ce12ee3e53f2af91ac7b00af24e50476fe28824dbf7d47c509608ee78ef46fc3	d351d55afb7ad462e1a6bb9d9118da7ae9d45110a7f4fec99b4bb7154b28ef0f	
exp_025	HistGradientBoosting learns sufficient nonlinear structure from raw approved features and improves by removing derived-feature noise.	use raw approved features with HistGradientBoosting	REVERT	997.2113049513524	True	True	False	998.2869729390948	-1.0756679877423494	864300.7360371063	4856075.872281086	250875.0	117750.0	0.0	0.0	4487450.872281086	997.2113049513524	0.35	0	2925	0	1575	0.7836757252740162	0.5616035501504919	0.13311305895484465	0.7656364419963211	3aff4579faf4ff5cf31837a3f736440343ae7bcf		a1cda15819ecf396221132011ae093a4bb4b06caffc151e47935b4fc9a1654ad	phase5_evaluator_v1	ce12ee3e53f2af91ac7b00af24e50476fe28824dbf7d47c509608ee78ef46fc3	680d1ac86614e4744724e0a90e6a8709f90e02b3be6f59a5eae887e86d3568dd	
exp_026	A low recent payment-to-bill ratio improves identification of cases needing human escalation.	weight human ranking by inverse recent payment ratio	KEEP	1000.8406548362794	True	True	True	998.2869729390948	2.553681897184674	880632.810519278	4871172.9467632575	250875.0	116515.0	0.0	0.0	4503782.9467632575	1000.8406548362794	0.35	0	2925	0	1575	0.7879877275105915	0.5609663892779136	0.13272009244591193	0.8032027080189437	3aff4579faf4ff5cf31837a3f736440343ae7bcf	35b93ab1e24b098a57929b5c9a73e0539822feb0	15a8606f8f771e68d2d832bd8d3d0dce510686907f4a508f28985f616dd952e8	phase5_evaluator_v1	ce12ee3e53f2af91ac7b00af24e50476fe28824dbf7d47c509608ee78ef46fc3	4b8bbf4837d1dafde525ef2c9e6cb2b236f186d9f0ee076a082beb7b7fcf08c1	
exp_027	Worsening delinquency from six months ago improves human allocation beyond risk exposure and payment ratio.	add worsening delinquency trend to human ranking	REVERT	997.7867527812568	True	True	False	1000.8406548362794	-3.053902055022604	866890.2512716763	4856765.387515656	250875.0	115850.0	0.0	0.0	4490040.387515656	997.7867527812568	0.35	0	2925	0	1575	0.7879877275105915	0.5609663892779136	0.13272009244591193	0.8007265810156241	35b93ab1e24b098a57929b5c9a73e0539822feb0		aac676ce4bdb862998c8df20d03f6f3d23fbdbd63b4f5dc7bec6e60885d16f83	phase5_evaluator_v1	ce12ee3e53f2af91ac7b00af24e50476fe28824dbf7d47c509608ee78ef46fc3	426f9b5c61bb81bb52b9a5ead8f7fc07a7601f3df11288ea877e88102eca38bd	
exp_028	Under stronger HGB and payment-ratio selection, 34.5 percent human capacity removes negative-value marginal cases.	test 34.5 percent capacity with improved ranking	REVERT	996.8748025348766	True	True	False	1000.8406548362794	-3.9658523014028333	862786.4751629652	4848281.611406945	247540.0	114805.0	0.0	0.0	4485936.611406945	996.8748025348766	0.3448888888888889	0	2948	0	1552	0.7879877275105915	0.5609663892779136	0.13272009244591193	0.7120270859450102	35b93ab1e24b098a57929b5c9a73e0539822feb0		33d5921ec7761677bcea5ad96a454b0f5ee50e70e503f231ddc8800d84010228	phase5_evaluator_v1	ce12ee3e53f2af91ac7b00af24e50476fe28824dbf7d47c509608ee78ef46fc3	ce3bc2d7b0157c4f4351a4069a1810f96ebe80622c814b2a67a8b40a2e6d8aa2	
exp_029	HGB high-risk non-human accounts gain utility from payment-plan review rather than digital fallback.	use payment plan for HGB probability at least 0.70	REVERT	1000.6128078044707	True	True	False	1000.8406548362794	-0.2278470318087784	879607.4988761386	4871502.635120118	252090.0	116655.0	0.0	0.0	4502757.635120118	1000.6128078044707	0.35	0	2898	27	1575	0.7879877275105915	0.5609663892779136	0.13272009244591193	0.7658467549481429	35b93ab1e24b098a57929b5c9a73e0539822feb0		8c168877c98db4a1e38048033f19866eb85fa0637e8e8da08bfb6aa4108f3832	phase5_evaluator_v1	ce12ee3e53f2af91ac7b00af24e50476fe28824dbf7d47c509608ee78ef46fc3	dfc4dc27c300d321c0bcff15471cde7f700726b6d105043ffedacb3d008a91a6	
exp_030	Six-month mean positive balance improves human allocation by reducing noise in the current-balance exposure signal.	rank with six-month mean positive balance	REVERT	992.264826604463	True	True	False	1000.8406548362794	-8.575828231816445	842041.5834761038	4830776.719720082	250875.0	114710.0	0.0	0.0	4465191.719720083	992.264826604463	0.35	0	2925	0	1575	0.7879877275105915	0.5609663892779136	0.13272009244591193	0.93588743096916	35b93ab1e24b098a57929b5c9a73e0539822feb0		f2bdadb4f022954eede80feec75779c514b6f4877584653db8213c5129e1810a	phase5_evaluator_v1	ce12ee3e53f2af91ac7b00af24e50476fe28824dbf7d47c509608ee78ef46fc3	deb42bbb15ae6f62b4a8cad0941fb0082329bda26bca60abcb5e09afd75fdb2f	
